id,type,text1,text2,text3,notes
vayra_boltonmissiletubes,SHIP_SYSTEM,Remote-fires a prefabricated Swarmer SRM from each fighter launched by the carrier.,Offensive,Remote-fires a prefabricated Swarmer SRM from each fighter launched by the carrier.,
vayra_yak,SHIP,"A light interceptor deployed by the PDPRC from escort carriers, converted freighters, or even jury-rigged shuttle bays. Armed only with a Kashtan scattergun, the Yak lacks staying power in a fight but can still pose a threat to other strike craft.",,,
vayra_blackshark,SHIP,"Stemming from a different heritage than the streamlined aerospace fighters favored by most factions, the Black Shark's design ancestors were heavy rotary-wing attack craft employed in persistent, close-range support of ground assaults. Armed with short-range assault rockets and protected by thick armor, it moves sluggishly for an attack craft but can stand in extended combat with enemy warships.",,,
vayra_pugachev,SHIP,"The Pugachev is a supermaneuverable heavy interceptor, specialized in chasing down fleeing enemies and disabling targets of opportunity with its ionized plasma beam - also effective against light armor. Extremely dangerous in swarms.",,,
vayra_molotov,SHIP,"The Molotov is an extremely atypical bomber, carrying large missile pods stocked with low-payload missiles rather than one or two heavier pieces of ordnance. The Vampir ASMs it deploys have a specialized payload, dealing additional damage to enemy capital ships relative to their performance against smaller targets.",,,
vayra_kashtan,WEAPON,"A light scattergun firing specialized continuous-rod antifighter ammunition. Short-ranged and ineffective against shields or heavy plating, but devastating to strike craft armor.",,,
vayra_plasmalance_fighter,WEAPON,"A potent beam weapon, propelling an ionized jet of superheated plasma at relativistic speeds. The jet has a short duration and effective range, but has good armor penetration and carries enough force to temporarily overpower the thrusters of missiles and other small targets.",,,
vayra_lightrocket_fighter,WEAPON,"Smaller cousin to the ubiquitous Annihilator, Extinguisher rockets carry much less payload and fuel but are simple enough to be replicated onboard light strike craft by an integrated autoforge. Effective against frigate and destroyer armor, but struggles against heavier plating.",,,
vayra_incendiarysrm_fighter,WEAPON,"The Vampir ASM is a curious design, carrying a relatively light payload but delivering a potent concussive blast on impact that resonates through capital-scale targets, causing them to literally shake themselves apart.",,,
vayra_tpc,WEAPON,"A post-Collapse refinement of the bulky Thermal Pulse Cannon ordinarily seen built into the side pinions of the Onslaught-class battleship. While still much too large to be fitted to a modular energy emplacement, careful engineering has allowed the mounting of these formidable weapons in specialized turrets powered by colossal pulse generators buried deep in the Galleon's hull. As the broadsides of the Galleon-class treasure ship, they pose an overwhelmingly powerful defense against any that would try to steal its riches.",Heavy Assault,,
vayra_necrocore,RESOURCE,"This alpha-level AI core is unique, slightly larger than others you have interacted with and noticeably - almost preternaturally - cold to the touch. It resists all standard testing, refuses to communicate through any channel, and in its presence you can't help but feel a distinct sense of... unease.

An alpha-level AI core is capable of excelling at any task. Assigning one to run a colony-wide industry brings benefits well beyond the capacity of human leadership, and there are even rumors of alpha cores surreptitiously assigned to govern entire worlds.

Selling AI cores on the open market is prohibited by most factions. However, higher-up faction representatives are often willing to exchange AI cores for large sums of cash when communicated with directly, though their reasons for doing so may vary.

The alpha-level AI core is the physical soul of a fearsome alien intelligence. An alpha can create art which perfectly simulates human pathos, plausibly debate any philosophical position, and form what appear to be deep and meaningful bonds with human beings. Alphas have been known to perform elaborate 'jokes' built over years which can only be appreciated due to the intention that a particular human subject become cognitive of the whole at a specific time and context.

Although the locus of vast material and intellectual investment, alphas terrified Domain strategic planners. Like all AI, each alpha was watched, controlled, and ruthlessly eliminated at the first sign of disloyalty. The Hegemony carries on these policies with even greater fervor.",,,
vayra_colossus4_rg,SHIP,"The Colossus was first adapted for war by Pather militants, but enterprising pirates soon followed their lead. This particular specimen, however, seems to have been rebuilt even further from the original specifications than the common pirate conversion. No doubt inspired by the common Atlas Mk.II battlecruiser conversion, the weapons systems of this Colossus have been comprehensively overhauled and fitted with both an advanced targeting unit and overclocked autoloading mechanisms. Beneath the bright coat of Red Guards livery, it has been stripped down and rebuilt for maximum durability at minimal cost. Elaborate sensor arrays and failure-prone high-tech communication consoles have been pared away, leaving only those systems absolutely necessary to the vessel's function as a mercilessly efficient weapon of war.

The Colossus heavy freighter formed the core of Domain frontier supply fleets before it was outmatched by the brutal economic efficiency of the Atlas superfreighter. Thicker than strictly necessary hull plating provides protection against cosmic hazards both natural and human.",,,
vayra_listening_post,CUSTOM,"Deployed to collect information, extend comm networks, or simply mark territory, listening posts are in common use across the sector. Due to the cheapness of their construction - little more than a few automated systems and a databank - they are often left in place when their services are no longer needed.",,,
vayra_abandoned_station,CUSTOM,"A massive orbital platform, scarred by radiation and fully powered-down with the exception of a few faintly winking emergency lights.",,"Dull red emergency lights illuminate the shattered docking ring. The corridor into the station is riddled with holes, evidence of light weapons fire. There are no signs of life.",
vayra_hammerhead_warhawk,SHIP,"A product of the Stormhawk Republic, this Hammerhead-class destroyer has been engineered with universal weapon mounts and an integrated flight deck to increase its tactical flexibility.

A midline destroyer from the golden age of the Domain, the Hammerhead is respected for its staying power in battle as well as its ballistic capabilities.",,,
vayra_broadsword_warhawk,SHIP,"The Stormhawk Republic has recoded this Broadsword LPC to better fit their fighter-focused fleet doctrine, upgrading the reactor to midline-standard levels of output to allow for increased speed and longer time-on-target.

Tough and agile, the Broadsword carries a decoy flare launcher that draws defensive fire away from high-value targets like bombers and their payloads. However, it can falter if faced with the need to deal the killing blow itself.",,,
vayra_thunder_warhawk,SHIP,"The Stormhawk Republic has recoded this Thunder LPC to better fit their fighter-focused fleet doctrine, adding the ability for it to launch decoy flares.

Extremely fast, well-armed, and with a long engagement range, the Thunder's strength lies in enabling a carrier to rapidly project force at the desired location. Not as damaging as a bomber or as tough as a heavy fighter, it will falter if forced into a prolonged engagement.",,,
vayra_khopesh_warhawk,SHIP,"The Stormhawk Republic has recoded this Khopesh LPC to better fit their fighter-focused fleet doctrine, upgrading the reactor to midline-standard levels of output which allow it to keep up with wings of heavy fighters in rapid assaults.

The Khopesh can deliver an accurate and devastating rocket barrage to its target. Safer and more reliable in dealing its damage than other bombers, it also doesn't boast quite the same damage potential.",,,
